study,pair,date,side,outcome,tie,k
score suppress,EURUSD,2020-05-29 00:00:00,top,continuation,False,4
score suppress,EURUSD,2020-07-22 00:00:00,top,continuation,False,5
score suppress,EURUSD,2020-08-18 20:00:00,top,reversal,False,1
score suppress,EURUSD,2021-01-18 08:00:00,bottom,reversal,False,8
score suppress,EURUSD,2022-07-05 16:00:00,bottom,continuation,False,1
score suppress,EURUSD,2023-03-23 04:00:00,top,continuation,False,2
score suppress,EURUSD,2024-11-22 00:00:00,bottom,continuation,False,4
score suppress,EURUSD,2025-11-03 08:00:00,bottom,continuation,False,7
score suppress,EURUSD,2026-04-14 08:00:00,top,continuation,False,2
score suppress,GBPUSD,2021-01-21 16:00:00,top,reversal,False,6
score suppress,GBPUSD,2021-02-10 04:00:00,top,continuation,False,3
score suppress,GBPUSD,2022-06-13 04:00:00,bottom,continuation,False,1
score suppress,GBPUSD,2022-06-29 20:00:00,bottom,reversal,False,1
score suppress,GBPUSD,2022-07-05 20:00:00,bottom,continuation,False,1
score suppress,GBPUSD,2024-02-22 16:00:00,top,reversal,False,1
score suppress,GBPUSD,2024-03-07 00:00:00,top,reversal,False,2
score suppress,GBPUSD,2024-04-22 16:00:00,bottom,continuation,False,1
score suppress,GBPUSD,2024-12-20 00:00:00,bottom,continuation,False,3
score suppress,USDJPY,2020-06-08 04:00:00,top,reversal,False,4
score suppress,USDJPY,2020-07-24 12:00:00,bottom,continuation,False,1
score suppress,USDJPY,2020-07-27 04:00:00,bottom,continuation,False,1
score suppress,USDJPY,2020-12-16 16:00:00,bottom,reversal,False,2
score suppress,USDJPY,2021-11-17 00:00:00,top,continuation,False,1
score suppress,USDJPY,2021-12-27 16:00:00,top,continuation,False,2
score suppress,USDJPY,2022-01-04 12:00:00,top,continuation,False,2
score suppress,USDJPY,2022-04-11 08:00:00,top,continuation,False,2
score suppress,USDJPY,2022-04-28 12:00:00,top,continuation,False,1
score suppress,USDJPY,2023-06-23 00:00:00,top,continuation,False,3
score suppress,USDJPY,2024-11-27 20:00:00,bottom,continuation,False,1
score suppress,USDJPY,2025-05-12 16:00:00,top,reversal,False,10
score suppress,USDJPY,2025-05-26 08:00:00,bottom,reversal,False,2
score suppress,USDJPY,2025-07-01 16:00:00,bottom,reversal,False,2
score suppress,USDCAD,2021-03-18 04:00:00,bottom,continuation,False,3
score suppress,USDCAD,2021-06-17 04:00:00,top,continuation,False,3
score suppress,NZDUSD,2020-12-17 12:00:00,top,continuation,False,1
score suppress,NZDUSD,2020-12-31 00:00:00,top,continuation,False,3
score suppress,NZDUSD,2021-01-06 16:00:00,top,reversal,False,2
score suppress,NZDUSD,2021-02-22 08:00:00,top,continuation,False,1
score suppress,NZDUSD,2021-02-25 00:00:00,top,continuation,False,1
score suppress,NZDUSD,2021-03-23 16:00:00,bottom,continuation,False,1
score suppress,NZDUSD,2022-06-13 04:00:00,bottom,continuation,False,3
score suppress,AUDUSD,2021-02-15 12:00:00,top,continuation,False,6
score suppress,AUDUSD,2021-04-01 12:00:00,bottom,reversal,False,1
score suppress,AUDUSD,2021-11-11 04:00:00,bottom,continuation,False,2
score suppress,AUDUSD,2021-11-19 20:00:00,bottom,reversal,False,6
score suppress,AUDUSD,2022-01-24 20:00:00,bottom,continuation,False,1
score suppress,AUDUSD,2022-01-28 00:00:00,bottom,continuation,False,4
score suppress,AUDUSD,2022-03-04 16:00:00,top,continuation,False,4
score suppress,AUDUSD,2022-05-02 00:00:00,bottom,reversal,False,9
score suppress,AUDUSD,2025-10-13 08:00:00,bottom,continuation,False,7
score suppress,USDCHF,2020-07-06 20:00:00,bottom,reversal,False,1
score suppress,USDCHF,2020-07-22 00:00:00,bottom,reversal,False,4
score suppress,USDCHF,2020-08-18 20:00:00,bottom,reversal,False,1
score suppress,USDCHF,2020-12-02 00:00:00,bottom,continuation,False,3
score suppress,USDCHF,2020-12-03 00:00:00,bottom,continuation,False,3
score suppress,USDCHF,2021-07-29 12:00:00,bottom,continuation,False,3
score suppress,USDCHF,2025-04-11 00:00:00,bottom,continuation,False,2
score suppress,EURJPY,2021-07-19 16:00:00,bottom,continuation,False,1
score suppress,EURJPY,2025-01-13 20:00:00,bottom,reversal,False,1
score suppress,EURJPY,2025-06-11 20:00:00,top,reversal,False,1
score suppress,EURJPY,2026-07-30 04:00:00,top,reversal,False,4
score suppress,GBPJPY,2020-05-18 04:00:00,bottom,reversal,False,3
score suppress,GBPJPY,2023-05-29 04:00:00,top,reversal,False,3
score suppress,GBPJPY,2024-03-20 00:00:00,top,continuation,False,3
score suppress,GBPJPY,2024-06-24 16:00:00,top,reversal,False,1
score suppress,GBPJPY,2024-06-27 20:00:00,top,continuation,False,7
score suppress,CADJPY,2021-03-08 08:00:00,top,reversal,False,3
score suppress,CADJPY,2022-12-20 12:00:00,bottom,continuation,False,1
score suppress,CADJPY,2023-09-29 16:00:00,top,reversal,False,2
score suppress,CADJPY,2024-11-26 08:00:00,bottom,reversal,False,3
score suppress,CADJPY,2025-01-17 00:00:00,bottom,continuation,False,2
score suppress,CADJPY,2025-02-24 08:00:00,bottom,reversal,False,1
score suppress,CADJPY,2025-02-25 04:00:00,bottom,continuation,False,3
score suppress,CADJPY,2025-02-26 00:00:00,bottom,continuation,False,7
score suppress,CADJPY,2025-11-19 00:00:00,top,continuation,False,1
score suppress,CADJPY,2026-03-08 20:00:00,top,continuation,False,3
score suppress,AUDJPY,2024-07-01 16:00:00,top,reversal,False,5
score suppress,AUDJPY,2024-07-03 08:00:00,top,continuation,False,2
score suppress,AUDJPY,2025-04-04 12:00:00,bottom,continuation,False,3
score suppress,NZDJPY,2023-10-19 08:00:00,bottom,continuation,False,1
score suppress,NZDJPY,2024-06-24 12:00:00,top,continuation,False,1
score suppress,NZDJPY,2024-06-27 16:00:00,top,reversal,False,4
score suppress,NZDJPY,2024-11-26 08:00:00,bottom,reversal,False,1
score suppress,NZDJPY,2024-12-19 08:00:00,bottom,reversal,False,1
score suppress,NZDJPY,2025-01-13 20:00:00,bottom,reversal,False,2
score suppress,NZDJPY,2025-02-03 08:00:00,bottom,continuation,False,1
score suppress,NZDJPY,2025-04-04 12:00:00,bottom,continuation,False,3
score off,EURUSD,2020-05-29 00:00:00,top,continuation,False,4
score off,EURUSD,2020-07-22 00:00:00,top,continuation,False,5
score off,EURUSD,2020-07-27 04:00:00,top,continuation,False,1
score off,EURUSD,2020-07-31 00:00:00,top,continuation,False,2
score off,EURUSD,2020-08-18 20:00:00,top,reversal,False,1
score off,EURUSD,2021-01-18 08:00:00,bottom,reversal,False,8
score off,EURUSD,2022-07-05 16:00:00,bottom,continuation,False,1
score off,EURUSD,2023-03-23 04:00:00,top,continuation,False,2
score off,EURUSD,2023-05-18 20:00:00,bottom,reversal,False,5
score off,EURUSD,2024-11-22 00:00:00,bottom,continuation,False,4
score off,EURUSD,2025-03-11 16:00:00,top,reversal,False,7
score off,EURUSD,2025-11-03 08:00:00,bottom,continuation,False,7
score off,EURUSD,2026-04-14 08:00:00,top,continuation,False,2
score off,GBPUSD,2020-05-18 04:00:00,bottom,reversal,False,3
score off,GBPUSD,2021-01-21 16:00:00,top,reversal,False,6
score off,GBPUSD,2021-02-10 04:00:00,top,continuation,False,3
score off,GBPUSD,2021-02-15 20:00:00,top,continuation,False,4
score off,GBPUSD,2021-02-24 12:00:00,top,continuation,False,1
score off,GBPUSD,2022-06-13 04:00:00,bottom,continuation,False,1
score off,GBPUSD,2022-06-29 20:00:00,bottom,reversal,False,1
score off,GBPUSD,2022-07-05 20:00:00,bottom,continuation,False,1
score off,GBPUSD,2024-02-22 16:00:00,top,reversal,False,1
score off,GBPUSD,2024-03-07 00:00:00,top,reversal,False,2
score off,GBPUSD,2024-03-08 00:00:00,top,continuation,False,4
score off,GBPUSD,2024-04-22 16:00:00,bottom,continuation,False,1
score off,GBPUSD,2024-09-23 12:00:00,top,reversal,False,1
score off,GBPUSD,2024-12-20 00:00:00,bottom,continuation,False,3
score off,GBPUSD,2025-01-13 12:00:00,bottom,reversal,False,5
score off,GBPUSD,2025-11-04 20:00:00,bottom,continuation,False,1
score off,GBPUSD,2026-04-14 12:00:00,top,continuation,False,1
score off,USDJPY,2020-06-08 04:00:00,top,reversal,False,4
score off,USDJPY,2020-07-24 12:00:00,bottom,continuation,False,1
score off,USDJPY,2020-07-27 04:00:00,bottom,continuation,False,1
score off,USDJPY,2020-07-30 16:00:00,bottom,continuation,False,3
score off,USDJPY,2020-12-16 16:00:00,bottom,reversal,False,2
score off,USDJPY,2021-01-04 16:00:00,bottom,reversal,False,2
score off,USDJPY,2021-11-17 00:00:00,top,continuation,False,1
score off,USDJPY,2021-12-27 16:00:00,top,continuation,False,2
score off,USDJPY,2022-01-04 12:00:00,top,continuation,False,2
score off,USDJPY,2022-03-28 12:00:00,top,continuation,False,1
score off,USDJPY,2022-04-11 08:00:00,top,continuation,False,2
score off,USDJPY,2022-04-28 12:00:00,top,continuation,False,1
score off,USDJPY,2022-06-02 00:00:00,top,reversal,False,4
score off,USDJPY,2022-06-06 04:00:00,top,reversal,False,2
score off,USDJPY,2022-06-07 00:00:00,top,continuation,False,2
score off,USDJPY,2023-06-23 00:00:00,top,continuation,False,3
score off,USDJPY,2023-06-28 20:00:00,top,continuation,False,6
score off,USDJPY,2024-07-02 00:00:00,top,continuation,False,9
score off,USDJPY,2024-11-27 20:00:00,bottom,continuation,False,1
score off,USDJPY,2024-12-02 16:00:00,bottom,continuation,False,2
score off,USDJPY,2025-05-12 16:00:00,top,reversal,False,10
score off,USDJPY,2025-05-26 08:00:00,bottom,reversal,False,2
score off,USDJPY,2025-07-01 16:00:00,bottom,reversal,False,2
score off,USDCAD,2020-12-11 00:00:00,bottom,reversal,False,4
score off,USDCAD,2021-03-18 04:00:00,bottom,continuation,False,3
score off,USDCAD,2021-06-17 04:00:00,top,continuation,False,3
score off,USDCAD,2021-10-14 16:00:00,bottom,continuation,False,2
score off,USDCAD,2022-09-22 04:00:00,top,continuation,False,1
score off,USDCAD,2023-08-08 16:00:00,top,continuation,False,1
score off,USDCAD,2026-06-24 00:00:00,top,continuation,False,4
score off,NZDUSD,2020-08-31 04:00:00,top,continuation,False,5
score off,NZDUSD,2020-12-17 12:00:00,top,continuation,False,1
score off,NZDUSD,2020-12-31 00:00:00,top,continuation,False,3
score off,NZDUSD,2021-01-06 16:00:00,top,reversal,False,2
score off,NZDUSD,2021-02-22 08:00:00,top,continuation,False,1
score off,NZDUSD,2021-02-25 00:00:00,top,continuation,False,1
score off,NZDUSD,2021-02-25 16:00:00,top,reversal,False,2
score off,NZDUSD,2021-03-23 16:00:00,bottom,continuation,False,1
score off,NZDUSD,2022-04-28 12:00:00,bottom,reversal,False,1
score off,NZDUSD,2022-06-13 04:00:00,bottom,continuation,False,3
score off,NZDUSD,2024-08-29 08:00:00,top,reversal,False,3
score off,NZDUSD,2025-04-21 12:00:00,top,reversal,False,9
score off,NZDUSD,2025-07-01 16:00:00,top,reversal,False,2
score off,NZDUSD,2026-01-29 12:00:00,top,reversal,False,1
score off,NZDUSD,2026-07-16 00:00:00,top,reversal,False,1
score off,AUDUSD,2021-02-15 12:00:00,top,continuation,False,6
score off,AUDUSD,2021-04-01 12:00:00,bottom,reversal,False,1
score off,AUDUSD,2021-11-11 04:00:00,bottom,continuation,False,2
score off,AUDUSD,2021-11-19 20:00:00,bottom,reversal,False,6
score off,AUDUSD,2021-12-01 00:00:00,bottom,reversal,False,1
score off,AUDUSD,2021-12-02 04:00:00,bottom,continuation,False,9
score off,AUDUSD,2021-12-06 04:00:00,bottom,reversal,False,4
score off,AUDUSD,2022-01-24 20:00:00,bottom,continuation,False,1
score off,AUDUSD,2022-01-28 00:00:00,bottom,continuation,False,4
score off,AUDUSD,2022-03-04 16:00:00,top,continuation,False,4
score off,AUDUSD,2022-04-28 12:00:00,bottom,reversal,False,1
score off,AUDUSD,2022-05-02 00:00:00,bottom,reversal,False,9
score off,AUDUSD,2022-10-13 20:00:00,bottom,reversal,False,1
score off,AUDUSD,2023-06-14 20:00:00,top,reversal,False,2
score off,AUDUSD,2024-09-30 08:00:00,top,reversal,False,9
score off,AUDUSD,2024-10-16 08:00:00,bottom,reversal,False,1
score off,AUDUSD,2025-09-11 20:00:00,top,continuation,False,1
score off,AUDUSD,2025-10-13 08:00:00,bottom,continuation,False,7
score off,AUDUSD,2026-01-25 20:00:00,top,continuation,False,2
score off,AUDUSD,2026-01-28 00:00:00,top,continuation,False,1
score off,AUDUSD,2026-01-29 00:00:00,top,continuation,False,1
score off,USDCHF,2020-07-06 20:00:00,bottom,reversal,False,1
score off,USDCHF,2020-07-09 12:00:00,bottom,reversal,False,1
score off,USDCHF,2020-07-22 00:00:00,bottom,reversal,False,4
score off,USDCHF,2020-07-27 08:00:00,bottom,continuation,False,1
score off,USDCHF,2020-07-29 16:00:00,bottom,reversal,False,1
score off,USDCHF,2020-07-31 08:00:00,bottom,reversal,False,4
score off,USDCHF,2020-08-18 20:00:00,bottom,reversal,False,1
score off,USDCHF,2020-12-02 00:00:00,bottom,continuation,False,3
score off,USDCHF,2020-12-03 00:00:00,bottom,continuation,False,3
score off,USDCHF,2021-07-29 12:00:00,bottom,continuation,False,3
score off,USDCHF,2022-06-13 04:00:00,top,continuation,False,3
score off,USDCHF,2022-11-11 00:00:00,bottom,continuation,False,4
score off,USDCHF,2024-08-27 20:00:00,bottom,continuation,False,10
score off,USDCHF,2024-11-14 12:00:00,top,continuation,False,2
score off,USDCHF,2025-04-11 00:00:00,bottom,continuation,False,2
score off,EURJPY,2020-06-01 08:00:00,top,reversal,False,2
score off,EURJPY,2020-12-02 00:00:00,top,continuation,False,3
score off,EURJPY,2021-07-19 16:00:00,bottom,continuation,False,1
score off,EURJPY,2022-03-28 16:00:00,top,reversal,False,1
score off,EURJPY,2022-06-08 16:00:00,top,continuation,False,1
score off,EURJPY,2023-11-14 20:00:00,top,continuation,False,1
score off,EURJPY,2023-12-07 12:00:00,bottom,continuation,False,1
score off,EURJPY,2024-09-11 00:00:00,bottom,continuation,False,2
score off,EURJPY,2024-12-02 16:00:00,bottom,continuation,False,2
score off,EURJPY,2025-01-13 20:00:00,bottom,reversal,False,1
score off,EURJPY,2025-02-03 08:00:00,bottom,continuation,False,3
score off,EURJPY,2025-06-11 20:00:00,top,reversal,False,1
score off,EURJPY,2026-07-30 04:00:00,top,reversal,False,4
score off,GBPJPY,2020-05-18 04:00:00,bottom,reversal,False,3
score off,GBPJPY,2022-03-28 16:00:00,top,reversal,False,1
score off,GBPJPY,2022-04-19 08:00:00,top,continuation,False,1
score off,GBPJPY,2023-05-29 04:00:00,top,reversal,False,3
score off,GBPJPY,2023-08-15 16:00:00,top,reversal,False,5
score off,GBPJPY,2024-02-22 16:00:00,top,reversal,False,1
score off,GBPJPY,2024-03-20 00:00:00,top,continuation,False,3
score off,GBPJPY,2024-06-24 16:00:00,top,reversal,False,1
score off,GBPJPY,2024-06-27 20:00:00,top,continuation,False,7
score off,GBPJPY,2024-07-03 20:00:00,top,reversal,False,1
score off,GBPJPY,2024-07-08 16:00:00,top,reversal,False,2
score off,GBPJPY,2024-09-11 00:00:00,bottom,continuation,False,2
score off,GBPJPY,2024-11-27 04:00:00,bottom,continuation,False,2
score off,CADJPY,2020-12-11 00:00:00,top,reversal,False,1
score off,CADJPY,2021-03-08 08:00:00,top,reversal,False,3
score off,CADJPY,2022-03-28 12:00:00,top,continuation,False,1
score off,CADJPY,2022-12-20 12:00:00,bottom,continuation,False,1
score off,CADJPY,2023-09-29 16:00:00,top,reversal,False,2
score off,CADJPY,2024-03-08 20:00:00,bottom,continuation,False,1
score off,CADJPY,2024-09-11 00:00:00,bottom,continuation,False,2
score off,CADJPY,2024-09-27 12:00:00,top,reversal,False,1
score off,CADJPY,2024-11-26 08:00:00,bottom,reversal,False,3
score off,CADJPY,2024-12-03 00:00:00,bottom,reversal,False,1
score off,CADJPY,2025-01-17 00:00:00,bottom,continuation,False,2
score off,CADJPY,2025-02-24 08:00:00,bottom,reversal,False,1
score off,CADJPY,2025-02-25 04:00:00,bottom,continuation,False,3
score off,CADJPY,2025-02-26 00:00:00,bottom,continuation,False,7
score off,CADJPY,2025-02-28 08:00:00,bottom,reversal,False,2
score off,CADJPY,2025-11-19 00:00:00,top,continuation,False,1
score off,CADJPY,2026-03-08 20:00:00,top,continuation,False,3
score off,AUDJPY,2021-02-22 04:00:00,top,continuation,False,1
score off,AUDJPY,2022-03-28 12:00:00,top,continuation,False,1
score off,AUDJPY,2022-09-12 12:00:00,top,reversal,False,8
score off,AUDJPY,2024-07-01 16:00:00,top,reversal,False,5
score off,AUDJPY,2024-07-03 08:00:00,top,continuation,False,2
score off,AUDJPY,2024-07-10 00:00:00,top,continuation,False,3
score off,AUDJPY,2025-04-04 12:00:00,bottom,continuation,False,3
score off,AUDJPY,2026-09-13 20:00:00,bottom,reversal,False,1
score off,NZDJPY,2022-03-28 12:00:00,top,continuation,False,1
score off,NZDJPY,2022-06-02 20:00:00,top,continuation,False,1
score off,NZDJPY,2023-10-19 08:00:00,bottom,continuation,False,1
score off,NZDJPY,2024-06-24 12:00:00,top,continuation,False,1
score off,NZDJPY,2024-06-27 16:00:00,top,reversal,False,4
score off,NZDJPY,2024-09-09 20:00:00,bottom,reversal,False,2
score off,NZDJPY,2024-11-26 08:00:00,bottom,reversal,False,1
score off,NZDJPY,2024-12-02 20:00:00,bottom,continuation,False,1
score off,NZDJPY,2024-12-19 08:00:00,bottom,reversal,False,1
score off,NZDJPY,2025-01-13 20:00:00,bottom,reversal,False,2
score off,NZDJPY,2025-02-03 08:00:00,bottom,continuation,False,1
score off,NZDJPY,2025-02-27 12:00:00,bottom,reversal,False,1
score off,NZDJPY,2025-02-28 08:00:00,bottom,reversal,False,2
score off,NZDJPY,2025-04-04 12:00:00,bottom,continuation,False,3
single pct_b,EURUSD,2020-05-06 16:00:00,bottom,reversal,False,1
single pct_b,EURUSD,2020-05-12 20:00:00,top,reversal,False,1
single pct_b,EURUSD,2020-05-18 20:00:00,top,continuation,False,1
single pct_b,EURUSD,2020-05-19 16:00:00,top,continuation,False,1
single pct_b,EURUSD,2020-05-22 16:00:00,bottom,reversal,False,10
single pct_b,EURUSD,2020-05-27 16:00:00,top,reversal,False,1
single pct_b,EURUSD,2020-05-29 00:00:00,top,continuation,False,4
single pct_b,EURUSD,2020-06-03 16:00:00,top,reversal,False,1
single pct_b,EURUSD,2020-06-04 00:00:00,top,reversal,False,4
single pct_b,EURUSD,2020-06-05 00:00:00,top,continuation,False,4
single pct_b,EURUSD,2020-06-15 04:00:00,bottom,reversal,False,5
single pct_b,EURUSD,2020-06-23 16:00:00,top,continuation,False,1
single pct_b,EURUSD,2020-07-02 16:00:00,top,reversal,False,1
single pct_b,EURUSD,2020-07-06 12:00:00,top,continuation,False,2
single pct_b,EURUSD,2020-07-09 12:00:00,top,reversal,False,1
single pct_b,EURUSD,2020-07-20 12:00:00,top,reversal,False,2
single pct_b,EURUSD,2020-07-22 00:00:00,top,continuation,False,5
single pct_b,EURUSD,2020-07-27 08:00:00,top,continuation,False,3
single pct_b,EURUSD,2020-07-31 00:00:00,top,continuation,False,2
single pct_b,EURUSD,2020-08-10 16:00:00,bottom,continuation,False,4
single pct_b,EURUSD,2020-08-13 16:00:00,top,reversal,False,3
single pct_b,EURUSD,2020-08-18 20:00:00,top,reversal,False,1
single pct_b,EURUSD,2020-08-28 12:00:00,top,continuation,False,1
single pct_b,EURUSD,2020-09-02 20:00:00,bottom,continuation,False,4
single pct_b,EURUSD,2020-09-08 08:00:00,bottom,reversal,False,2
single pct_b,EURUSD,2020-09-08 20:00:00,bottom,reversal,False,1
single pct_b,EURUSD,2020-09-10 20:00:00,top,reversal,False,1
single pct_b,EURUSD,2020-09-17 04:00:00,bottom,continuation,False,1
single pct_b,EURUSD,2020-09-21 20:00:00,bottom,continuation,False,7
single pct_b,EURUSD,2020-09-29 16:00:00,top,continuation,False,1
single pct_b,EURUSD,2020-10-05 20:00:00,top,continuation,False,1
single pct_b,EURUSD,2020-10-09 16:00:00,top,continuation,False,5
single pct_b,EURUSD,2020-10-14 00:00:00,bottom,reversal,False,5
single pct_b,EURUSD,2020-10-19 20:00:00,top,continuation,False,6
single pct_b,EURUSD,2020-10-28 08:00:00,bottom,continuation,False,2
single pct_b,EURUSD,2020-10-29 20:00:00,bottom,continuation,False,1
single pct_b,EURUSD,2020-11-05 20:00:00,top,reversal,False,2
single pct_b,EURUSD,2020-11-16 04:00:00,top,continuation,False,9
single pct_b,EURUSD,2020-11-19 16:00:00,bottom,reversal,False,3
single pct_b,EURUSD,2020-11-23 20:00:00,top,reversal,False,1
single pct_b,EURUSD,2020-11-30 04:00:00,top,continuation,False,3
single pct_b,EURUSD,2020-12-02 00:00:00,top,continuation,False,1
single pct_b,EURUSD,2020-12-10 00:00:00,bottom,reversal,False,5
single pct_b,EURUSD,2020-12-11 12:00:00,top,reversal,False,1
single pct_b,EURUSD,2020-12-16 16:00:00,top,reversal,False,2
single pct_b,EURUSD,2020-12-17 12:00:00,top,continuation,False,3
single pct_b,EURUSD,2020-12-23 00:00:00,bottom,reversal,False,6
single pct_b,EURUSD,2020-12-28 16:00:00,top,reversal,False,1
single pct_b,EURUSD,2020-12-29 12:00:00,top,continuation,False,3
single pct_b,EURUSD,2020-12-30 12:00:00,top,reversal,False,1
single pct_b,EURUSD,2021-01-01 16:00:00,bottom,continuation,False,1
single pct_b,EURUSD,2021-01-08 16:00:00,bottom,continuation,False,3
single pct_b,EURUSD,2021-01-18 04:00:00,bottom,reversal,False,9
single pct_b,EURUSD,2021-01-22 04:00:00,top,reversal,False,9
single pct_b,EURUSD,2021-01-27 20:00:00,bottom,continuation,False,1
single pct_b,EURUSD,2021-01-28 08:00:00,bottom,reversal,False,3
single pct_b,EURUSD,2021-02-02 04:00:00,bottom,reversal,False,2
single pct_b,EURUSD,2021-02-02 20:00:00,bottom,continuation,False,2
single pct_b,EURUSD,2021-02-05 00:00:00,bottom,reversal,False,6
single pct_b,EURUSD,2021-02-09 16:00:00,top,continuation,False,5
single pct_b,EURUSD,2021-02-16 16:00:00,top,reversal,False,2
single pct_b,EURUSD,2021-02-17 08:00:00,bottom,continuation,False,2
single pct_b,EURUSD,2021-02-25 16:00:00,top,continuation,False,1
single pct_b,EURUSD,2021-03-01 04:00:00,bottom,continuation,False,4
single pct_b,EURUSD,2021-03-05 04:00:00,bottom,continuation,False,3
single pct_b,EURUSD,2021-03-11 16:00:00,top,reversal,False,2
single pct_b,EURUSD,2021-03-17 00:00:00,bottom,reversal,False,7
single pct_b,EURUSD,2021-03-24 00:00:00,bottom,continuation,False,2
single pct_b,EURUSD,2021-03-24 16:00:00,bottom,continuation,False,6
single pct_b,EURUSD,2021-03-30 20:00:00,bottom,continuation,False,4
single pct_b,EURUSD,2021-04-06 00:00:00,top,continuation,False,5
single pct_b,EURUSD,2021-04-07 00:00:00,top,continuation,False,4
single pct_b,EURUSD,2021-04-13 20:00:00,top,continuation,False,3
single pct_b,EURUSD,2021-04-19 16:00:00,top,continuation,False,5
single pct_b,EURUSD,2021-04-26 04:00:00,top,reversal,False,4
single pct_b,EURUSD,2021-04-29 04:00:00,top,reversal,False,9
single pct_b,EURUSD,2021-05-03 04:00:00,bottom,reversal,False,3
single pct_b,EURUSD,2021-05-10 04:00:00,top,reversal,False,3
single pct_b,EURUSD,2021-05-13 04:00:00,bottom,reversal,False,3
single pct_b,EURUSD,2021-05-18 16:00:00,top,reversal,False,7
single pct_b,EURUSD,2021-05-25 16:00:00,top,reversal,False,2
single pct_b,EURUSD,2021-06-01 08:00:00,top,continuation,False,4
single pct_b,EURUSD,2021-06-03 20:00:00,bottom,continuation,False,1
single pct_b,EURUSD,2021-06-11 16:00:00,bottom,continuation,False,2
single pct_b,EURUSD,2021-06-17 04:00:00,bottom,continuation,False,3
single pct_b,EURUSD,2021-06-23 20:00:00,top,reversal,False,1
single pct_b,EURUSD,2021-06-29 16:00:00,bottom,continuation,False,1
single pct_b,EURUSD,2021-06-30 20:00:00,bottom,continuation,False,1
single pct_b,EURUSD,2021-07-12 04:00:00,top,reversal,False,3
single pct_b,EURUSD,2021-07-14 00:00:00,bottom,reversal,False,5
single pct_b,EURUSD,2021-07-20 20:00:00,bottom,reversal,False,7
single pct_b,EURUSD,2021-07-28 00:00:00,top,reversal,False,4
single pct_b,EURUSD,2021-07-29 04:00:00,top,continuation,False,3
single pct_b,EURUSD,2021-08-05 00:00:00,bottom,continuation,False,10
single pct_b,EURUSD,2021-08-09 04:00:00,bottom,continuation,False,5
single pct_b,EURUSD,2021-08-16 04:00:00,top,reversal,False,4
single pct_b,EURUSD,2021-08-24 00:00:00,top,continuation,False,6
single pct_b,EURUSD,2021-08-30 04:00:00,top,continuation,False,8
single pct_b,EURUSD,2021-09-03 00:00:00,top,reversal,False,16
single pct_b,EURUSD,2021-09-08 00:00:00,bottom,continuation,False,4
single pct_b,EURUSD,2021-09-13 12:00:00,bottom,continuation,False,2
single pct_b,EURUSD,2021-09-16 16:00:00,bottom,continuation,False,8
single pct_b,EURUSD,2021-09-23 04:00:00,bottom,reversal,False,2
single pct_b,EURUSD,2021-09-29 20:00:00,bottom,continuation,False,1
single pct_b,EURUSD,2021-10-06 16:00:00,bottom,continuation,False,1
single pct_b,EURUSD,2021-10-13 00:00:00,bottom,reversal,False,3
single pct_b,EURUSD,2021-10-14 04:00:00,top,continuation,False,3
single pct_b,EURUSD,2021-10-19 12:00:00,top,continuation,False,2
single pct_b,EURUSD,2021-10-25 20:00:00,bottom,reversal,False,1
single pct_b,EURUSD,2021-10-29 00:00:00,top,reversal,False,4
single pct_b,EURUSD,2021-11-04 16:00:00,bottom,continuation,False,2
single pct_b,EURUSD,2021-11-11 00:00:00,bottom,continuation,False,1
single pct_b,EURUSD,2021-11-16 04:00:00,bottom,reversal,False,2
single pct_b,EURUSD,2021-11-17 00:00:00,bottom,continuation,False,3
single pct_b,EURUSD,2021-11-23 04:00:00,bottom,reversal,False,3
single pct_b,EURUSD,2021-11-26 20:00:00,top,continuation,False,1
single pct_b,EURUSD,2021-11-30 16:00:00,top,continuation,True,2
single pct_b,EURUSD,2021-12-07 20:00:00,bottom,continuation,False,1
single pct_b,EURUSD,2021-12-09 00:00:00,top,reversal,False,6
single pct_b,EURUSD,2021-12-15 04:00:00,bottom,continuation,True,6
single pct_b,EURUSD,2021-12-16 16:00:00,top,reversal,False,1
single pct_b,EURUSD,2021-12-17 04:00:00,top,reversal,False,5
single pct_b,EURUSD,2021-12-29 16:00:00,bottom,reversal,False,2
single pct_b,EURUSD,2022-01-03 04:00:00,top,reversal,False,2
single pct_b,EURUSD,2022-01-10 08:00:00,top,reversal,False,2
single pct_b,EURUSD,2022-01-12 00:00:00,top,continuation,False,6
single pct_b,EURUSD,2022-01-13 16:00:00,top,reversal,False,8
single pct_b,EURUSD,2022-01-19 00:00:00,bottom,reversal,False,9
single pct_b,EURUSD,2022-01-24 20:00:00,bottom,reversal,False,1
single pct_b,EURUSD,2022-01-25 20:00:00,bottom,reversal,False,2
single pct_b,EURUSD,2022-01-27 04:00:00,bottom,continuation,False,3
single pct_b,EURUSD,2022-02-04 00:00:00,top,continuation,False,3
single pct_b,EURUSD,2022-02-11 00:00:00,top,reversal,False,1
single pct_b,EURUSD,2022-02-11 12:00:00,bottom,continuation,False,3
single pct_b,EURUSD,2022-02-14 16:00:00,bottom,reversal,False,6
single pct_b,EURUSD,2022-02-21 04:00:00,bottom,reversal,False,2
single pct_b,EURUSD,2022-02-22 04:00:00,bottom,reversal,False,4
single pct_b,EURUSD,2022-02-24 08:00:00,bottom,continuation,False,1
